county,2019,2020,2021
Hillsborough,50,058,53,432,58,140
Holmes,32,243,34,564,37,381
Indian River,86,856,89,294,95,109
Jackson,34,518,36,810,39,322
Jefferson,43,672,45,771,50,197
Lafayette,27,405,29,032,31,218
Lake,43,878,45,880,49,831
Lee,56,549,59,300,62,885
Leon,46,842,49,821,54,277
Levy,37,460,40,271,43,272
Liberty,26,830,29,988,32,872
Madison,33,602,36,338,39,165
Manatee,53,269,55,550,59,152
Marion,39,153,41,960,45,152
Martin,92,323,95,026,102,273
Miami-Dade,56,137,57,713,64,849
Monroe,98,415,99,764,109,136
Nassau,63,408,66,227,70,010
Okaloosa,51,512,54,934,59,384
Okeechobee,33,555,35,985,39,747
Orange,46,649,49,597,54,979
Osceola,36,498,39,421,43,354
Palm Beach,89,254,92,773,100,627
Pasco,43,822,46,696,50,479
Pinellas,57,635,60,996,65,936
Polk,38,196,40,970,43,556
Putnam,34,224,37,129,40,376
St. Johns,74,335,76,387,80,062
St. Lucie,43,308,45,760,50,038
Santa Rosa,47,484,50,016,53,778
Sarasota,72,499,75,070,78,815
Seminole,50,950,52,916,58,539
Sumter,59,209,60,900,64,282
Suwannee,34,336,36,672,39,039
Taylor,30,671,33,070,35,156
Union,21,387,23,094,25,293
Volusia,46,612,48,620,52,964
Wakulla,39,253,41,625,45,669
Walton,72,175,74,926,78,714
Washington,31,302,33,656,36,331
Georgia,49,083,51,987,55,786
Appling,35,398,38,878,41,863
Atkinson,30,314,32,402,35,527
Bacon,32,699,37,802,39,471
Baker,41,675,45,195,51,216
Baldwin,34,954,37,833,40,542
Banks,38,328,40,087,43,766
Barrow,38,623,41,378,44,534
Bartow,40,386,43,775,47,162
Ben Hill,31,711,35,427,38,640
Berrien,34,454,37,305,39,945
Bibb,40,356,43,592,46,781
Bleckley,35,755,38,355,41,298
Brantley,29,129,32,549,35,435
Brooks,35,010,38,394,40,982
Bryan,49,390,51,580,54,772
Bulloch,33,054,35,618,37,901
Burke,36,082,39,207,41,870
Butts,35,569,38,057,41,657
Calhoun,28,906,31,898,34,306
Camden,37,169,39,729,42,945
Candler,34,174,37,183,40,988
Carroll,40,663,44,014,47,002
Catoosa,36,389,39,530,42,448
Charlton,26,630,29,062,30,916
Chatham,47,724,51,482,54,586
Chattahoochee,32,636,36,007,39,690
Chattooga,31,192,33,948,36,833
Cherokee,53,954,56,552,60,235
Clarke,35,408,38,188,40,672
Clay,33,969,38,731,40,439
Clayton,28,280,32,446,36,056
Clinch,37,877,40,601,42,450
Cobb,60,261,63,105,67,616
Coffee,32,872,35,690,40,209
